#,M,class,identificador,def,int,float,char,bool,string,if,else,do,while,dowhile,input,output,break,loop,cteentera,ctereal,ctenotacion,+,-,*,/,=,==,<,<=,>,>=,!=,!,&&,||,(,),;,",",:,{,},ctecaracter,ctestring,%,$
,,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244
1,PROGRAM,1,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,590
2,DECLARAR,551,3,2,551,551,551,551,551,3,3,3,3,3,3,3,3,3,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,3,551,551,551,551
3,IDN,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,5,552,4,5,552,552,552,552,552,552
4,TIPO,553,553,553,6,7,8,9,10,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553
5,ESTATUTOS,554,11,554,554,554,554,554,554,12,19,14,13,19,15,16,18,17,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,19,554,554,554,554
6,EST_ASIG,555,20,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555
7,EST_WRITE,556,556,556,556,556,556,556,556,556,556,556,556,556,21,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556
8,EST_READ,557,557,557,557,557,557,557,557,557,557,557,557,557,557,22,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557
9,EST_BREAK,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,23,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558
10,EST_DO,559,559,559,559,559,559,559,559,559,559,24,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559
11,EST_IF,560,560,560,560,560,560,560,560,25,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560
12,EST_WHILE,561,561,561,561,561,561,561,561,561,561,561,28,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561
13,EST_LOOP,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,29,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562
14,ELSES,563,563,563,563,563,563,563,563,563,26,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,27,563,563,563,563
15,EXPRN,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,31,564,30,564,564,564,564,564,564,564
16,EXPR,565,32,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,32,32,32,565,565,565,565,565,565,565,565,565,565,565,32,565,565,32,565,565,565,565,565,565,32,32,565,565
17,EXPROR,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,33,566,34,34,34,566,566,566,566,566,566,566
18,EXPR2,567,35,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,35,35,35,567,567,567,567,567,567,567,567,567,567,567,35,567,567,35,567,567,567,567,567,567,35,35,567,567
19,EXPRAND,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,36,37,568,37,37,37,568,568,568,568,568,568,568
20,EXPR3,569,38,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,38,38,38,569,569,569,569,569,569,569,569,569,569,569,38,569,569,38,569,569,569,569,569,569,38,38,569,569
21,NOT,570,40,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,40,40,40,570,570,570,570,570,570,570,570,570,570,570,39,570,570,40,570,570,570,570,570,570,40,40,570,570
22,EXPR4,571,41,571,571,571,571,571,571,571,571,571,571,571,571,571,571,571,41,41,41,571,571,571,571,571,571,571,571,571,571,571,571,571,571,41,571,571,571,571,571,571,41,41,571,571
23,EXPRREL,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,42,42,42,42,42,42,572,43,43,572,43,43,43,572,572,572,572,572,572,572
24,OPREL,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,44,46,47,48,49,45,573,573,573,573,573,573,573,573,573,573,573,573,573,573
25,EXPR5,574,50,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,50,50,50,574,574,574,574,574,574,574,574,574,574,574,574,574,574,50,574,574,574,574,574,574,50,50,574,574
26,ADI,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,51,52,575,575,575,53,53,53,53,53,53,575,53,53,575,53,53,53,575,575,575,575,575,575,575
27,TERM,576,54,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,54,54,54,576,576,576,576,576,576,576,576,576,576,576,574,576,576,54,576,576,576,576,576,576,54,54,576,576
28,PROD,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,58,58,55,56,577,58,58,58,58,58,58,577,58,58,577,58,58,58,577,577,577,577,577,57,577
29,FACT,578,59,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,60,61,62,578,578,578,578,578,578,578,578,578,578,578,574,578,578,65,578,578,578,578,578,578,63,64,578,578