M,l,L,_,d,.,E,e,+,-,/,*,%,',“,$,&,|,=,!,<,>,{,},[,],(,),",",:,;,\t,\b,\n,dif,EOF
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
q0,q1,q2,q2,q3,500,q2,q1,105,106,108,107,128,q15,q17,q19,q13,q14,q9,q12,q10,q11,129,130,121,122,119,120,124,131,123,q0,q0,q0,506,509
q1,q1,q2,q2,q2,100,q2,q1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
q2,q2,q2,q2,q2,101,q2,q2,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
q3,102,102,102,q3,q4,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
q4,501,501,501,q5,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501
q5,103,103,103,q5,103,q6,q6,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
q6,502,502,502,q8,502,502,502,q7,q7,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502
q7,503,503,503,q8,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503
q8,104,104,104,q8,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
q9,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,110,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
q10,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
q11,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,114,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
q12,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,115,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
q13,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,117,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504
q14,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,118,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505
q15,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,507,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,q16,508
q16,508,508,508,508,508,508,508,508,508,508,508,508,125,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508
q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q18,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,508
q18,126,126,126,126,126,126,126,126,126,126,126,126,126,q17,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,q19,127,q19,127